Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
-0.202484130859375;6.11195798456879;-8.1756591796875E-09;-0.20220947265625;1;1;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.204925537109375;6.13637198450715;-1.2139892578125E-08;-0.204620361328125;1;2;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.207366943359375;6.16078598444551;-1.47308349609375E-08;-0.20709228515625;1;3;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.209808349609375;6.18519998438387;-1.74896240234375E-08;-0.209564208984375;1;4;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.212249755859375;6.20961398432223;-2.01416015625E-08;-0.2119140625;1;5;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.214691162109375;6.23402798426059;-2.20855712890625E-08;-0.21441650390625;1;6;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.217132568359375;6.25844198419895;-2.4761962890625E-08;-0.216766357421875;1;7;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.219573974609375;6.28285598413731;-2.6885986328125E-08;-0.219268798828125;1;8;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.222015380859375;6.30726998407567;-2.93792724609375E-08;-0.221710205078125;1;9;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.224456787109375;6.33168398401403;-3.2196044921875E-08;-0.224151611328125;1;10;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.226898193359375;6.3560979839524;-3.5137939453125E-08;-0.2265625;1;11;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.229339599609375;6.38051198389076;-3.8287353515625E-08;-0.22900390625;1;12;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.231781005859375;6.40492598382912;-4.119873046875E-08;-0.23150634765625;1;13;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.234222412109375;6.42933998376748;-4.5684814453125E-08;-0.233917236328125;1;14;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.236663818359375;6.45375398370584;-4.99267578125E-08;-0.236328125;1;15;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.239105224609375;6.4781679836442;-5.4534912109375E-08;-0.23876953125;1;16;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.241546630859375;6.50258198358256;-5.9661865234375E-08;-0.2412109375;1;17;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.243988037109375;6.52699598352092;-6.524658203125E-08;-0.243682861328125;1;18;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.246429443359375;6.55140998345928;-7.12890625E-08;-0.24615478515625;1;19;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.248870849609375;6.57582398339764;-7.8521728515625E-08;-0.24847412109375;1;20;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.251312255859375;6.600237983336;-8.5601806640625E-08;-0.250946044921875;1;21;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.253753662109375;6.62465198327436;-9.356689453125E-08;-0.253326416015625;1;22;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.256195068359375;6.64906598321272;-1.01165771484375E-07;-0.255706787109375;1;23;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.258636474609375;6.67347998315108;-1.09771728515625E-07;-0.258209228515625;1;24;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.261077880859375;6.69789398308944;-1.1761474609375E-07;-0.2606201171875;1;25;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.263519287109375;6.7223079830278;-1.258544921875E-07;-0.26300048828125;1;26;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.265960693359375;6.74672198296616;-1.34246826171875E-07;-0.26544189453125;1;27;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.268402099609375;6.77113598290453;-1.41510009765625E-07;-0.267913818359375;1;28;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.270843505859375;6.79554998284289;-1.48956298828125E-07;-0.270294189453125;1;29;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.273284912109375;6.81996398278125;-1.54937744140625E-07;-0.272705078125;1;30;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.275726318359375;6.84437798271961;-1.5972900390625E-07;-0.275177001953125;1;31;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.278167724609375;6.86879198265797;-1.63970947265625E-07;-0.277587890625;1;32;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.280609130859375;6.89320598259633;-1.6619873046875E-07;-0.279998779296875;1;33;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.283050537109375;6.91761998253469;-1.673583984375E-07;-0.282470703125;1;34;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.285491943359375;6.94203398247305;-1.6680908203125E-07;-0.284912109375;1;35;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.287933349609375;6.96644798241141;-1.65283203125E-07;-0.287322998046875;1;36;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.290374755859375;6.99086198234977;-1.617431640625E-07;-0.289794921875;1;37;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.292816162109375;7.01527598228813;-1.5655517578125E-07;-0.292236328125;1;38;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.295257568359375;7.03968998222649;-1.5032958984375E-07;-0.294647216796875;1;39;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.297698974609375;7.06410398216485;-1.43218994140625E-07;-0.297088623046875;1;40;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.300140380859375;7.08851798210321;-1.3494873046875E-07;-0.29962158203125;1;41;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.302581787109375;7.11293198204157;-1.2628173828125E-07;-0.30206298828125;1;42;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.305023193359375;7.13734598197993;-1.16912841796875E-07;-0.30450439453125;1;43;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.307464599609375;7.16175998191829;-1.08367919921875E-07;-0.3070068359375;1;44;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.309906005859375;7.18617398185665;-1.0015869140625E-07;-0.309417724609375;1;45;8.41435045003891E-08;-1.87984108924866E-07;100 nA
-0.312347412109375;7.21058798179502;-9.1552734375E-08;-0.311920166015625;1;46;8.41435045003891E-08;-1.87984108924866E-07;100 nA
